experiment_key,task,include_prior,history,future,test_acc_top_val,task_long_name
text,1,False,4,1,0.682427,false_false_binary
text,1,False,4,3,0.647989,false_false_binary
text,1,False,4,5,0.647129,false_false_binary
text,1,False,4,10,0.647035,false_false_binary
text,1,False,5,1,0.680235,false_false_binary
text,1,False,5,3,0.651098,false_false_binary
text,1,False,5,5,0.649927,false_false_binary
text,1,False,5,10,0.649854,false_false_binary
text,1,False,10,1,0.654824,false_false_binary
text,1,False,10,3,0.649864,false_false_binary
text,1,False,10,5,0.649805,false_false_binary
text,1,False,10,10,0.649632,false_false_binary
text,1,False,30,1,0.649422,false_false_binary
text,1,False,30,3,0.649361,false_false_binary
text,1,False,30,5,0.649149,false_false_binary
text,1,False,30,10,0.649068,false_false_binary
text,1,True,4,1,0.74885,false_false_binary
text,1,True,4,3,0.652105,false_false_binary
text,1,True,4,5,0.647129,false_false_binary
text,1,True,4,10,0.647035,false_false_binary
text,1,True,5,1,0.755378,false_false_binary
text,1,True,5,3,0.666618,false_false_binary
text,1,True,5,5,0.649879,false_false_binary
text,1,True,5,10,0.649854,false_false_binary
text,1,True,10,1,0.748059,false_false_binary
text,1,True,10,3,0.654875,false_false_binary
text,1,True,10,5,0.649805,false_false_binary
text,1,True,10,10,0.649632,false_false_binary
text,1,True,30,1,0.749602,false_false_binary
text,1,True,30,3,0.654752,false_false_binary
text,1,True,30,5,0.649149,false_false_binary
text,1,True,30,10,0.649118,false_false_binary
text,2,False,4,1,0.656225,false_true_binary
text,2,False,4,3,0.604577,false_true_binary
text,2,False,4,5,0.560283,false_true_binary
text,2,False,4,10,0.573058,false_true_binary
text,2,False,5,1,0.64691,false_true_binary
text,2,False,5,3,0.599441,false_true_binary
text,2,False,5,5,0.561757,false_true_binary
text,2,False,5,10,0.577109,false_true_binary
text,2,False,10,1,0.589171,false_true_binary
text,2,False,10,3,0.556553,false_true_binary
text,2,False,10,5,0.541241,false_true_binary
text,2,False,10,10,0.525882,false_true_binary
text,2,False,30,1,0.516027,false_true_binary
text,2,False,30,3,0.510299,false_true_binary
text,2,False,30,5,0.502203,false_true_binary
text,2,False,30,10,0.511567,false_true_binary
text,2,True,4,1,0.716353,false_true_binary
text,2,True,4,3,0.621873,false_true_binary
text,2,True,4,5,0.587357,false_true_binary
text,2,True,4,10,0.578827,false_true_binary
text,2,True,5,1,0.723056,false_true_binary
text,2,True,5,3,0.622619,false_true_binary
text,2,True,5,5,0.582321,false_true_binary
text,2,True,5,10,0.578855,false_true_binary
text,2,True,10,1,0.712032,false_true_binary
text,2,True,10,3,0.615251,false_true_binary
text,2,True,10,5,0.58705,false_true_binary
text,2,True,10,10,0.553723,false_true_binary
text,2,True,30,1,0.722192,false_true_binary
text,2,True,30,3,0.617825,false_true_binary
text,2,True,30,5,0.567594,false_true_binary
text,2,True,30,10,0.519324,false_true_binary
text,4,False,4,1,0.534519,multi
text,4,False,4,3,0.478177,multi
text,4,False,4,5,0.473438,multi
text,4,False,4,10,0.458717,multi
text,4,False,5,1,0.515603,multi
text,4,False,5,3,0.475211,multi
text,4,False,5,5,0.456453,multi
text,4,False,5,10,0.448509,multi
text,4,False,10,1,0.486052,multi
text,4,False,10,3,0.450779,multi
text,4,False,10,5,0.447798,multi
text,4,False,10,10,0.450644,multi
text,4,False,30,1,0.448038,multi
text,4,False,30,3,0.440415,multi
text,4,False,30,5,0.447734,multi
text,4,False,30,10,0.446613,multi
text,4,True,4,1,0.568169,multi
text,4,True,4,3,0.488458,multi
text,4,True,4,5,0.475384,multi
text,4,True,4,10,0.458325,multi
text,4,True,5,1,0.56399,multi
text,4,True,5,3,0.47943,multi
text,4,True,5,5,0.452927,multi
text,4,True,5,10,0.445845,multi
text,4,True,10,1,0.535487,multi
text,4,True,10,3,0.46813,multi
text,4,True,10,5,0.45206,multi
text,4,True,10,10,0.449928,multi
text,4,True,30,1,0.551781,multi
text,4,True,30,3,0.466472,multi
text,4,True,30,5,0.447734,multi
text,4,True,30,10,0.446981,multi
text,3,False,4,1,0.640495,true_true_binary
text,3,False,4,3,0.588555,true_true_binary
text,3,False,4,5,0.565869,true_true_binary
text,3,False,4,10,0.545009,true_true_binary
text,3,False,5,1,0.629909,true_true_binary
text,3,False,5,3,0.587201,true_true_binary
text,3,False,5,5,0.563999,true_true_binary
text,3,False,5,10,0.560014,true_true_binary
text,3,False,10,1,0.604873,true_true_binary
text,3,False,10,3,0.571884,true_true_binary
text,3,False,10,5,0.568892,true_true_binary
text,3,False,10,10,0.55329,true_true_binary
text,3,False,30,1,0.561955,true_true_binary
text,3,False,30,3,0.551567,true_true_binary
text,3,False,30,5,0.55318,true_true_binary
text,3,False,30,10,0.553387,true_true_binary
text,3,True,4,1,0.680913,true_true_binary
text,3,True,4,3,0.596508,true_true_binary
text,3,True,4,5,0.577933,true_true_binary
text,3,True,4,10,0.552069,true_true_binary
text,3,True,5,1,0.684783,true_true_binary
text,3,True,5,3,0.605309,true_true_binary
text,3,True,5,5,0.56347,true_true_binary
text,3,True,5,10,0.561967,true_true_binary
text,3,True,10,1,0.66649,true_true_binary
text,3,True,10,3,0.593661,true_true_binary
text,3,True,10,5,0.573686,true_true_binary
text,3,True,10,10,0.554363,true_true_binary
text,3,True,30,1,0.678052,true_true_binary
text,3,True,30,3,0.584184,true_true_binary
text,3,True,30,5,0.561404,true_true_binary
text,3,True,30,10,0.553387,true_true_binary
text_video,1,False,4,1,0.699243,false_false_binary
text_video,1,False,4,3,0.647543,false_false_binary
text_video,1,False,4,5,0.647129,false_false_binary
text_video,1,False,4,10,0.647085,false_false_binary
text_video,1,False,5,1,0.674014,false_false_binary
text_video,1,False,5,3,0.652983,false_false_binary
text_video,1,False,5,5,0.649927,false_false_binary
text_video,1,False,5,10,0.649854,false_false_binary
text_video,1,False,10,1,0.65628,false_false_binary
text_video,1,False,10,3,0.650107,false_false_binary
text_video,1,False,10,5,0.649805,false_false_binary
text_video,1,False,10,10,0.649583,false_false_binary
text_video,1,False,30,1,0.655646,false_false_binary
text_video,1,False,30,3,0.652855,false_false_binary
text_video,1,False,30,5,0.649199,false_false_binary
text_video,1,False,30,10,0.649068,false_false_binary
text_video,1,True,4,1,0.746575,false_false_binary
text_video,1,True,4,3,0.651312,false_false_binary
text_video,1,True,4,5,0.647676,false_false_binary
text_video,1,True,4,10,0.647135,false_false_binary
text_video,1,True,5,1,0.744044,false_false_binary
text_video,1,True,5,3,0.659076,false_false_binary
text_video,1,True,5,5,0.651721,false_false_binary
text_video,1,True,5,10,0.649902,false_false_binary
text_video,1,True,10,1,0.735974,false_false_binary
text_video,1,True,10,3,0.670397,false_false_binary
text_video,1,True,10,5,0.652829,false_false_binary
text_video,1,True,10,10,0.649583,false_false_binary
