experiment_key,task,include_prior,history,future,test_acc_top_val,task_long_name
text_video,1,True,30,1,0.737303,false_false_binary
text_video,1,True,30,3,0.68141,false_false_binary
text_video,1,True,30,5,0.661862,false_false_binary
text_video,1,True,30,10,0.649068,false_false_binary
text_video,2,False,4,1,0.640032,false_true_binary
text_video,2,False,4,3,0.542576,false_true_binary
text_video,2,False,4,5,0.552547,false_true_binary
text_video,2,False,4,10,0.568228,false_true_binary
text_video,2,False,5,1,0.648638,false_true_binary
text_video,2,False,5,3,0.566405,false_true_binary
text_video,2,False,5,5,0.559754,false_true_binary
text_video,2,False,5,10,0.567034,false_true_binary
text_video,2,False,10,1,0.578209,false_true_binary
text_video,2,False,10,3,0.574645,false_true_binary
text_video,2,False,10,5,0.561257,false_true_binary
text_video,2,False,10,10,0.549534,false_true_binary
text_video,2,False,30,1,0.595479,false_true_binary
text_video,2,False,30,3,0.571684,false_true_binary
text_video,2,False,30,5,0.514317,false_true_binary
text_video,2,False,30,10,0.539548,false_true_binary
text_video,2,True,4,1,0.686488,false_true_binary
text_video,2,True,4,3,0.583688,false_true_binary
text_video,2,True,4,5,0.534009,false_true_binary
text_video,2,True,4,10,0.576681,false_true_binary
text_video,2,True,5,1,0.721728,false_true_binary
text_video,2,True,5,3,0.603703,false_true_binary
text_video,2,True,5,5,0.587662,false_true_binary
text_video,2,True,5,10,0.570258,false_true_binary
text_video,2,True,10,1,0.678209,false_true_binary
text_video,2,True,10,3,0.590458,false_true_binary
text_video,2,True,10,5,0.532375,false_true_binary
text_video,2,True,10,10,0.56805,false_true_binary
text_video,2,True,30,1,0.715479,false_true_binary
text_video,2,True,30,3,0.626202,false_true_binary
text_video,2,True,30,5,0.596641,false_true_binary
text_video,2,True,30,10,0.545505,false_true_binary
text_video,4,False,4,1,0.482885,multi
text_video,4,False,4,3,0.449467,multi
text_video,4,False,4,5,0.436661,multi
text_video,4,False,4,10,0.444989,multi
text_video,4,False,5,1,0.484572,multi
text_video,4,False,5,3,0.452707,multi
text_video,4,False,5,5,0.453632,multi
text_video,4,False,5,10,0.444957,multi
text_video,4,False,10,1,0.450918,multi
text_video,4,False,10,3,0.441926,multi
text_video,4,False,10,5,0.450639,multi
text_video,4,False,10,10,0.444921,multi
text_video,4,False,30,1,0.401163,multi
text_video,4,False,30,3,0.444971,multi
text_video,4,False,30,5,0.447186,multi
text_video,4,False,30,10,0.44514,multi
text_video,4,True,4,1,0.521369,multi
text_video,4,True,4,3,0.468477,multi
text_video,4,True,4,5,0.444055,multi
text_video,4,True,4,10,0.444205,multi
text_video,4,True,5,1,0.532083,multi
text_video,4,True,5,3,0.460795,multi
text_video,4,True,5,5,0.458039,multi
text_video,4,True,5,10,0.448153,multi
text_video,4,True,10,1,0.479343,multi
text_video,4,True,10,3,0.456091,multi
text_video,4,True,10,5,0.445668,multi
text_video,4,True,10,10,0.448856,multi
text_video,4,True,30,1,0.498365,multi
text_video,4,True,30,3,0.462099,multi
text_video,4,True,30,5,0.430556,multi
text_video,4,True,30,10,0.446613,multi
text_video,3,False,4,1,0.630826,true_true_binary
text_video,3,False,4,3,0.582347,true_true_binary
text_video,3,False,4,5,0.561782,true_true_binary
text_video,3,False,4,10,0.550304,true_true_binary
text_video,3,False,5,1,0.629208,true_true_binary
text_video,3,False,5,3,0.578059,true_true_binary
text_video,3,False,5,5,0.566996,true_true_binary
text_video,3,False,5,10,0.552202,true_true_binary
text_video,3,False,10,1,0.603107,true_true_binary
text_video,3,False,10,3,0.580559,true_true_binary
text_video,3,False,10,5,0.57777,true_true_binary
text_video,3,False,10,10,0.538448,true_true_binary
text_video,3,False,30,1,0.559048,true_true_binary
text_video,3,False,30,3,0.561042,true_true_binary
text_video,3,False,30,5,0.552266,true_true_binary
text_video,3,False,30,10,0.552099,true_true_binary
text_video,3,True,4,1,0.64707,true_true_binary
text_video,3,True,4,3,0.578468,true_true_binary
text_video,3,True,4,5,0.580852,true_true_binary
text_video,3,True,4,10,0.547558,true_true_binary
text_video,3,True,5,1,0.662518,true_true_binary
text_video,3,True,5,3,0.596695,true_true_binary
text_video,3,True,5,5,0.555889,true_true_binary
text_video,3,True,5,10,0.551491,true_true_binary
text_video,3,True,10,1,0.639831,true_true_binary
text_video,3,True,10,3,0.586225,true_true_binary
text_video,3,True,10,5,0.563565,true_true_binary
text_video,3,True,10,10,0.54882,true_true_binary
text_video,3,True,30,1,0.62827,true_true_binary
text_video,3,True,30,3,0.557034,true_true_binary
text_video,3,True,30,5,0.544042,true_true_binary
text_video,3,True,30,10,0.567747,true_true_binary
text_video_voxaudio,1,False,4,1,0.723725,false_false_binary
text_video_voxaudio,1,False,4,3,0.676105,false_false_binary
text_video_voxaudio,1,False,4,5,0.65225,false_false_binary
text_video_voxaudio,1,False,4,10,0.647936,false_false_binary
text_video_voxaudio,1,False,5,1,0.720893,false_false_binary
text_video_voxaudio,1,False,5,3,0.660478,false_false_binary
text_video_voxaudio,1,False,5,5,0.654484,false_false_binary
text_video_voxaudio,1,False,5,10,0.658634,false_false_binary
text_video_voxaudio,1,False,10,1,0.695302,false_false_binary
text_video_voxaudio,1,False,10,3,0.65361,false_false_binary
text_video_voxaudio,1,False,10,5,0.656439,false_false_binary
text_video_voxaudio,1,False,10,10,0.652086,false_false_binary
text_video_voxaudio,1,False,30,1,0.667447,false_false_binary
text_video_voxaudio,1,False,30,3,0.661542,false_false_binary
text_video_voxaudio,1,False,30,5,0.65045,false_false_binary
text_video_voxaudio,1,False,30,10,0.649068,false_false_binary
text_video_voxaudio,1,True,4,1,0.754488,false_false_binary
text_video_voxaudio,1,True,4,3,0.677443,false_false_binary
text_video_voxaudio,1,True,4,5,0.651554,false_false_binary
text_video_voxaudio,1,True,4,10,0.65379,false_false_binary
text_video_voxaudio,1,True,5,1,0.755329,false_false_binary
text_video_voxaudio,1,True,5,3,0.661638,false_false_binary
text_video_voxaudio,1,True,5,5,0.666311,false_false_binary
text_video_voxaudio,1,True,5,10,0.651854,false_false_binary
text_video_voxaudio,1,True,10,1,0.738886,false_false_binary
text_video_voxaudio,1,True,10,3,0.673511,false_false_binary
text_video_voxaudio,1,True,10,5,0.660244,false_false_binary
text_video_voxaudio,1,True,10,10,0.649877,false_false_binary
text_video_voxaudio,1,True,30,1,0.742731,false_false_binary
text_video_voxaudio,1,True,30,3,0.690495,false_false_binary
text_video_voxaudio,1,True,30,5,0.664815,false_false_binary
text_video_voxaudio,1,True,30,10,0.649773,false_false_binary
text_video_voxaudio,2,False,4,1,0.673878,false_true_binary
text_video_voxaudio,2,False,4,3,0.613225,false_true_binary
text_video_voxaudio,2,False,4,5,0.535743,false_true_binary
text_video_voxaudio,2,False,4,10,0.567691,false_true_binary
text_video_voxaudio,2,False,5,1,0.674419,false_true_binary
text_video_voxaudio,2,False,5,3,0.604902,false_true_binary
text_video_voxaudio,2,False,5,5,0.537455,false_true_binary
text_video_voxaudio,2,False,5,10,0.571198,false_true_binary
text_video_voxaudio,2,False,10,1,0.637567,false_true_binary
text_video_voxaudio,2,False,10,3,0.58952,false_true_binary
text_video_voxaudio,2,False,10,5,0.522434,false_true_binary
text_video_voxaudio,2,False,10,10,0.531288,false_true_binary
text_video_voxaudio,2,False,30,1,0.585205,false_true_binary
text_video_voxaudio,2,False,30,3,0.55905,false_true_binary
text_video_voxaudio,2,False,30,5,0.533315,false_true_binary
text_video_voxaudio,2,False,30,10,0.502978,false_true_binary
text_video_voxaudio,2,True,4,1,0.711043,false_true_binary
text_video_voxaudio,2,True,4,3,0.607504,false_true_binary
text_video_voxaudio,2,True,4,5,0.567618,false_true_binary
text_video_voxaudio,2,True,4,10,0.577754,false_true_binary
text_video_voxaudio,2,True,5,1,0.716811,false_true_binary
text_video_voxaudio,2,True,5,3,0.623685,false_true_binary
text_video_voxaudio,2,True,5,5,0.557751,false_true_binary
text_video_voxaudio,2,True,5,10,0.569049,false_true_binary
text_video_voxaudio,2,True,10,1,0.699733,false_true_binary
text_video_voxaudio,2,True,10,3,0.597561,false_true_binary
text_video_voxaudio,2,True,10,5,0.534659,false_true_binary
text_video_voxaudio,2,True,10,10,0.537775,false_true_binary
text_video_voxaudio,2,True,30,1,0.712329,false_true_binary
text_video_voxaudio,2,True,30,3,0.624691,false_true_binary
text_video_voxaudio,2,True,30,5,0.592098,false_true_binary
text_video_voxaudio,2,True,30,10,0.513783,false_true_binary
text_video_voxaudio,4,False,4,1,0.530265,multi
text_video_voxaudio,4,False,4,3,0.469641,multi
text_video_voxaudio,4,False,4,5,0.467601,multi
text_video_voxaudio,4,False,4,10,0.440479,multi
text_video_voxaudio,4,False,5,1,0.531381,multi
text_video_voxaudio,4,False,5,3,0.466069,multi
text_video_voxaudio,4,False,5,5,0.456276,multi
text_video_voxaudio,4,False,5,10,0.448509,multi
text_video_voxaudio,4,False,10,1,0.473694,multi
text_video_voxaudio,4,False,10,3,0.457153,multi
text_video_voxaudio,4,False,10,5,0.457386,multi
text_video_voxaudio,4,False,10,10,0.448856,multi
text_video_voxaudio,4,False,30,1,0.426781,multi
text_video_voxaudio,4,False,30,3,0.432945,multi
text_video_voxaudio,4,False,30,5,0.436404,multi
text_video_voxaudio,4,False,30,10,0.444035,multi
text_video_voxaudio,4,True,4,1,0.553665,multi
text_video_voxaudio,4,True,4,3,0.469835,multi
text_video_voxaudio,4,True,4,5,0.467212,multi
text_video_voxaudio,4,True,4,10,0.439498,multi
text_video_voxaudio,4,True,5,1,0.551367,multi
text_video_voxaudio,4,True,5,3,0.473101,multi
text_video_voxaudio,4,True,5,5,0.463329,multi
text_video_voxaudio,4,True,5,10,0.447976,multi
text_video_voxaudio,4,True,10,1,0.487288,multi
text_video_voxaudio,4,True,10,3,0.459101,multi
text_video_voxaudio,4,True,10,5,0.45348,multi
text_video_voxaudio,4,True,10,10,0.44206,multi
text_video_voxaudio,4,True,30,1,0.506904,multi
text_video_voxaudio,4,True,30,3,0.448251,multi
text_video_voxaudio,4,True,30,5,0.4322,multi
text_video_voxaudio,4,True,30,10,0.426178,multi
text_video_voxaudio,3,False,4,1,0.661381,true_true_binary
text_video_voxaudio,3,False,4,3,0.598448,true_true_binary
text_video_voxaudio,3,False,4,5,0.578323,true_true_binary
text_video_voxaudio,3,False,4,10,0.548931,true_true_binary
text_video_voxaudio,3,False,5,1,0.647791,true_true_binary
text_video_voxaudio,3,False,5,3,0.60109,true_true_binary
text_video_voxaudio,3,False,5,5,0.569111,true_true_binary
text_video_voxaudio,3,False,5,10,0.553445,true_true_binary
text_video_voxaudio,3,False,10,1,0.617938,true_true_binary
text_video_voxaudio,3,False,10,3,0.578081,true_true_binary
text_video_voxaudio,3,False,10,5,0.557884,true_true_binary
text_video_voxaudio,3,False,10,10,0.551144,true_true_binary
text_video_voxaudio,3,False,30,1,0.558685,true_true_binary
text_video_voxaudio,3,False,30,3,0.55922,true_true_binary
text_video_voxaudio,3,False,30,5,0.54989,true_true_binary
text_video_voxaudio,3,False,30,10,0.561856,true_true_binary
text_video_voxaudio,3,True,4,1,0.67105,true_true_binary
text_video_voxaudio,3,True,4,3,0.602716,true_true_binary
text_video_voxaudio,3,True,4,5,0.573458,true_true_binary
text_video_voxaudio,3,True,4,10,0.546382,true_true_binary
text_video_voxaudio,3,True,5,1,0.670933,true_true_binary
text_video_voxaudio,3,True,5,3,0.603024,true_true_binary
text_video_voxaudio,3,True,5,5,0.568759,true_true_binary
text_video_voxaudio,3,True,5,10,0.554155,true_true_binary
text_video_voxaudio,3,True,10,1,0.641066,true_true_binary
text_video_voxaudio,3,True,10,3,0.580559,true_true_binary
text_video_voxaudio,3,True,10,5,0.572088,true_true_binary
text_video_voxaudio,3,True,10,10,0.55025,true_true_binary
text_video_voxaudio,3,True,30,1,0.634084,true_true_binary
text_video_voxaudio,3,True,30,3,0.5543,true_true_binary
text_video_voxaudio,3,True,30,5,0.541118,true_true_binary
text_video_voxaudio,3,True,30,10,0.556885,true_true_binary
text_voxaudio,1,False,4,1,0.733617,false_false_binary
text_voxaudio,1,False,4,3,0.683294,false_false_binary
text_voxaudio,1,False,4,5,0.667412,false_false_binary
text_voxaudio,1,False,4,10,0.649837,false_false_binary
text_voxaudio,1,False,5,1,0.721231,false_false_binary
text_voxaudio,1,False,5,3,0.67068,false_false_binary
text_voxaudio,1,False,5,5,0.650509,false_false_binary
text_voxaudio,1,False,5,10,0.651122,false_false_binary
text_voxaudio,1,False,10,1,0.696175,false_false_binary
text_voxaudio,1,False,10,3,0.664607,false_false_binary
text_voxaudio,1,False,10,5,0.653707,false_false_binary
text_voxaudio,1,False,10,10,0.650319,false_false_binary
text_voxaudio,1,False,30,1,0.658136,false_false_binary
text_voxaudio,1,False,30,3,0.649311,false_false_binary
text_voxaudio,1,False,30,5,0.649149,false_false_binary
text_voxaudio,1,False,30,10,0.649068,false_false_binary
text_voxaudio,1,True,4,1,0.761561,false_false_binary
text_voxaudio,1,True,4,3,0.692468,false_false_binary
text_voxaudio,1,True,4,5,0.672682,false_false_binary
text_voxaudio,1,True,4,10,0.652439,false_false_binary
text_voxaudio,1,True,5,1,0.757066,false_false_binary
text_voxaudio,1,True,5,3,0.684557,false_false_binary
text_voxaudio,1,True,5,5,0.654484,false_false_binary
text_voxaudio,1,True,5,10,0.649854,false_false_binary
text_voxaudio,1,True,10,1,0.751602,false_false_binary
text_voxaudio,1,True,10,3,0.682026,false_false_binary
text_voxaudio,1,True,10,5,0.654732,false_false_binary
text_voxaudio,1,True,10,10,0.649681,false_false_binary
text_voxaudio,1,True,30,1,0.749602,false_false_binary
text_voxaudio,1,True,30,3,0.65595,false_false_binary
text_voxaudio,1,True,30,5,0.64955,false_false_binary
text_voxaudio,1,True,30,10,0.649068,false_false_binary
text_voxaudio,2,False,4,1,0.682639,false_true_binary
text_voxaudio,2,False,4,3,0.620676,false_true_binary
text_voxaudio,2,False,4,5,0.581488,false_true_binary
text_voxaudio,2,False,4,10,0.547565,false_true_binary
text_voxaudio,2,False,5,1,0.676146,false_true_binary
text_voxaudio,2,False,5,3,0.618356,false_true_binary
text_voxaudio,2,False,5,5,0.582588,false_true_binary
text_voxaudio,2,False,5,10,0.528748,false_true_binary
text_voxaudio,2,False,10,1,0.646257,false_true_binary
text_voxaudio,2,False,10,3,0.608684,false_true_binary
text_voxaudio,2,False,10,5,0.553869,false_true_binary
text_voxaudio,2,False,10,10,0.529801,false_true_binary
text_voxaudio,2,False,30,1,0.556301,false_true_binary
text_voxaudio,2,False,30,3,0.503021,false_true_binary
text_voxaudio,2,False,30,5,0.510463,false_true_binary
text_voxaudio,2,False,30,10,0.502147,false_true_binary
text_voxaudio,2,True,4,1,0.716618,false_true_binary
text_voxaudio,2,True,4,3,0.626663,false_true_binary
text_voxaudio,2,True,4,5,0.589224,false_true_binary
text_voxaudio,2,True,4,10,0.564739,false_true_binary
text_voxaudio,2,True,5,1,0.720797,false_true_binary
text_voxaudio,2,True,5,3,0.632077,false_true_binary
text_voxaudio,2,True,5,5,0.593938,false_true_binary
text_voxaudio,2,True,5,10,0.569452,false_true_binary
text_voxaudio,2,True,10,1,0.706283,false_true_binary
text_voxaudio,2,True,10,3,0.628384,false_true_binary
text_voxaudio,2,True,10,5,0.584363,false_true_binary
text_voxaudio,2,True,10,10,0.554129,false_true_binary
text_voxaudio,2,True,30,1,0.718082,false_true_binary
text_voxaudio,2,True,30,3,0.597501,false_true_binary
text_voxaudio,2,True,30,5,0.574202,false_true_binary
text_voxaudio,2,True,30,10,0.503117,false_true_binary
text_voxaudio,4,False,4,1,0.545156,multi
text_voxaudio,4,False,4,3,0.482832,multi
text_voxaudio,4,False,4,5,0.476746,multi
text_voxaudio,4,False,4,10,0.460482,multi
text_voxaudio,4,False,5,1,0.535238,multi
text_voxaudio,4,False,5,3,0.48154,multi
text_voxaudio,4,False,5,5,0.461742,multi
text_voxaudio,4,False,5,10,0.452592,multi
text_voxaudio,4,False,10,1,0.498588,multi
text_voxaudio,4,False,10,3,0.470786,multi
text_voxaudio,4,False,10,5,0.457209,multi
text_voxaudio,4,False,10,10,0.447425,multi
text_voxaudio,4,False,30,1,0.440225,multi
text_voxaudio,4,False,30,3,0.44406,multi
text_voxaudio,4,False,30,5,0.44883,multi
text_voxaudio,4,False,30,10,0.446613,multi
text_voxaudio,4,True,4,1,0.569136,multi
text_voxaudio,4,True,4,3,0.490204,multi
text_voxaudio,4,True,4,5,0.477719,multi
text_voxaudio,4,True,4,10,0.460679,multi
text_voxaudio,4,True,5,1,0.568724,multi
text_voxaudio,4,True,5,3,0.485056,multi
text_voxaudio,4,True,5,5,0.4628,multi
text_voxaudio,4,True,5,10,0.448153,multi
text_voxaudio,4,True,10,1,0.543256,multi
text_voxaudio,4,True,10,3,0.470255,multi
text_voxaudio,4,True,10,5,0.460227,multi
text_voxaudio,4,True,10,10,0.446888,multi
text_voxaudio,4,True,30,1,0.543968,multi
text_voxaudio,4,True,30,3,0.458819,multi
text_voxaudio,4,True,30,5,0.450292,multi
text_voxaudio,4,True,30,10,0.449006,multi
text_voxaudio,3,False,4,1,0.660801,true_true_binary
text_voxaudio,3,False,4,3,0.602522,true_true_binary
text_voxaudio,3,False,4,5,0.566258,true_true_binary
text_voxaudio,3,False,4,10,0.541675,true_true_binary
text_voxaudio,3,False,5,1,0.663043,true_true_binary
text_voxaudio,3,False,5,3,0.604606,true_true_binary
text_voxaudio,3,False,5,5,0.569288,true_true_binary
text_voxaudio,3,False,5,10,0.558416,true_true_binary
text_voxaudio,3,False,10,1,0.625706,true_true_binary
text_voxaudio,3,False,10,3,0.580559,true_true_binary
text_voxaudio,3,False,10,5,0.568004,true_true_binary
text_voxaudio,3,False,10,10,0.559728,true_true_binary
text_voxaudio,3,False,30,1,0.571403,true_true_binary
text_voxaudio,3,False,30,3,0.562682,true_true_binary
text_voxaudio,3,False,30,5,0.570724,true_true_binary
text_voxaudio,3,False,30,10,0.553019,true_true_binary
text_voxaudio,3,True,4,1,0.679559,true_true_binary
text_voxaudio,3,True,4,3,0.606596,true_true_binary
text_voxaudio,3,True,4,5,0.573458,true_true_binary
text_voxaudio,3,True,4,10,0.543244,true_true_binary
text_voxaudio,3,True,5,1,0.685835,true_true_binary
text_voxaudio,3,True,5,3,0.604782,true_true_binary
text_voxaudio,3,True,5,5,0.57299,true_true_binary
text_voxaudio,3,True,5,10,0.561257,true_true_binary
text_voxaudio,3,True,10,1,0.671434,true_true_binary
text_voxaudio,3,True,10,3,0.581976,true_true_binary
text_voxaudio,3,True,10,5,0.571023,true_true_binary
text_voxaudio,3,True,10,10,0.565451,true_true_binary
text_voxaudio,3,True,30,1,0.670422,true_true_binary
text_voxaudio,3,True,30,3,0.569789,true_true_binary
text_voxaudio,3,True,30,5,0.559942,true_true_binary
text_voxaudio,3,True,30,10,0.55081,true_true_binary
video,1,False,4,1,0.671843,false_false_binary
video,1,False,4,3,0.647642,false_false_binary
video,1,False,4,5,0.647129,false_false_binary
video,1,False,4,10,0.647035,false_false_binary
video,1,False,5,1,0.650429,false_false_binary
video,1,False,5,3,0.649985,false_false_binary
video,1,False,5,5,0.650121,false_false_binary
video,1,False,5,10,0.649805,false_false_binary
video,1,False,10,1,0.651524,false_false_binary
video,1,False,10,3,0.650058,false_false_binary
video,1,False,10,5,0.649805,false_false_binary
video,1,False,10,10,0.649583,false_false_binary
video,1,False,30,1,0.649422,false_false_binary
video,1,False,30,3,0.649311,false_false_binary
video,1,False,30,5,0.649349,false_false_binary
video,1,False,30,10,0.649068,false_false_binary
video,1,True,4,1,0.736832,false_false_binary
video,1,True,4,3,0.650518,false_false_binary
video,1,True,4,5,0.647129,false_false_binary
video,1,True,4,10,0.647035,false_false_binary
video,1,True,5,1,0.730491,false_false_binary
video,1,True,5,3,0.656271,false_false_binary
video,1,True,5,5,0.65143,false_false_binary
video,1,True,5,10,0.649805,false_false_binary
video,1,True,10,1,0.73379,false_false_binary
video,1,True,10,3,0.657308,false_false_binary
video,1,True,10,5,0.650244,false_false_binary
video,1,True,10,10,0.649681,false_false_binary
video,1,True,30,1,0.744423,false_false_binary
video,1,True,30,3,0.681609,false_false_binary
video,1,True,30,5,0.661311,false_false_binary
video,1,True,30,10,0.652292,false_false_binary
video,2,False,4,1,0.59185,false_true_binary
video,2,False,4,3,0.536056,false_true_binary
video,2,False,4,5,0.525207,false_true_binary
video,2,False,4,10,0.560311,false_true_binary
video,2,False,5,1,0.597874,false_true_binary
video,2,False,5,3,0.52804,false_true_binary
video,2,False,5,5,0.568968,false_true_binary
video,2,False,5,10,0.566093,false_true_binary
video,2,False,10,1,0.584225,false_true_binary
video,2,False,10,3,0.574511,false_true_binary
video,2,False,10,5,0.506045,false_true_binary
video,2,False,10,10,0.508177,false_true_binary
video,2,False,30,1,0.568356,false_true_binary
video,2,False,30,3,0.563032,false_true_binary
video,2,False,30,5,0.552726,false_true_binary
video,2,False,30,10,0.538302,false_true_binary
video,2,True,4,1,0.674808,false_true_binary
video,2,True,4,3,0.568121,false_true_binary
video,2,True,4,5,0.532275,false_true_binary
